acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40rc-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
aom 3.0.0-1
archlinux-keyring 20210110-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.0-1
atk 2.36.0-1
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.1-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
base 2-2
bash 5.1.004-1
binutils 2.36.1-2
bison 3.7.6-1
bluez-libs 5.58-1
boost-libs 1.75.0-2
brotli 1.0.9-4
bzip2 1.0.8-4
ca-certificates 20181109-4
ca-certificates-mozilla 3.63-1
ca-certificates-utils 20181109-4
cairo 1.17.4-5
cantarell-fonts 1:0.301-1
cava 0.7.3-3
chromaprint 1.5.0-3
cifs-utils 6.12-1
cmatrix 2.0-2
cmus 2.8.0-5
colord 1.4.5-1
coreutils 8.32-1
cryptsetup 2.3.5-4
curl 7.76.0-1
dav1d 0.8.2-1
db 5.3.28-5
dbus 1.12.20-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.11-5
diffutils 3.7-3
dmenu 5.0-1
dnssec-anchors 20190629-3
double-conversion 3.1.5-2
downloader-cli 0.3.1-0
e2fsprogs 1.46.2-1
elfutils 0.183-3
expat 2.2.10-2
faad2 2.10.0-1
fakeroot 1.25.3-2
feh 3.6.3-1
ffmpeg 2:4.3.2-6
fftw 3.3.9-1
file 5.40-1
filesystem 2021.01.19-1
findutils 4.8.0-1
flac 1.3.3-2
flex 2.6.4-3
fluidsynth 2.1.8-1
fontconfig 2:2.13.93-4
freetype2 2.10.4-1
fribidi 1.0.10-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-6
gcc-libs 10.2.0-6
gdbm 1.19-2
gdk-pixbuf2 2.42.4-1
gettext 0.21-1
ghc 8.10.4-1
ghc-libs 8.10.4-1
giblib 1.2.4-8
giflib 5.2.1-2
girara 0.3.5-1
git 2.31.1-1
glib-networking 1:2.68.0-1
glib2 2.68.0-5
glibc 2.33-4
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.27-1
gnutls 3.7.1-1
go 2:1.16.3-1
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gsettings-desktop-schemas 40.0-3
gsm 1.0.19-1
gtk-update-icon-cache 1:4.2.0-2
gtk3 1:3.24.28-1
guile 2.2.6-2
gzip 1.10-3
harfbuzz 2.8.0-1
haskell-adjunctions 4.4-228
haskell-aeson 1.5.6.0-15
haskell-alsa-core 0.5.0.1-14
haskell-alsa-mixer 0.3.0-70
haskell-asn1-encoding 0.9.6-103
haskell-asn1-parse 0.9.5-103
haskell-asn1-types 0.3.4-82
haskell-assoc 1.0.2-72
haskell-async 2.2.3-26
haskell-attoparsec 0.14.1-3
haskell-base-compat 0.11.2-4
haskell-base-compat-batteries 0.11.2-99
haskell-base-orphans 0.8.4-87
haskell-base64-bytestring 1.2.0.1-48
haskell-basement 0.0.11-10
haskell-bifunctors 5.5.10-61
haskell-blaze-builder 0.4.2.1-2
haskell-blaze-html 0.9.1.2-104
haskell-blaze-markup 0.8.2.8-10
haskell-byteable 0.1.1-22
haskell-call-stack 0.3.0-28
haskell-case-insensitive 1.2.1.0-84
haskell-cereal 0.5.8.1-9
haskell-comonad 5.0.8-75
haskell-conduit 1.3.4.1-11
haskell-conduit-extra 1.3.5-124
haskell-connection 0.3.1-114
haskell-contravariant 1.5.3-2
haskell-cookie 0.4.5-9
haskell-cryptonite 0.28-24
haskell-data-default 0.7.1.1-135
haskell-data-default-class 0.1.2.0-21
haskell-data-default-instances-containers 0.0.1-33
haskell-data-default-instances-dlist 0.0.1-148
haskell-data-default-instances-old-locale 0.0.1-33
haskell-data-fix 0.3.1-20
haskell-dbus 1.2.21-14
haskell-distributive 0.6.2.1-79
haskell-dlist 1.0-71
haskell-extensible-exceptions 0.1.1.4-33
haskell-free 5.1.6-31
haskell-hashable 1.3.1.0-24
haskell-hinotify 0.4.1-52
haskell-hourglass 0.2.12-127
haskell-http 4000.3.16-7
haskell-http-client 0.7.6-14
haskell-http-client-tls 0.3.5.3-405
haskell-http-conduit 2.3.8-15
haskell-http-types 0.12.3-150
haskell-indexed-traversable 0.1.1-3
haskell-indexed-traversable-instances 0.1-8
haskell-integer-logarithms 1.0.3.1-3
haskell-invariant 0.5.4-59
haskell-kan-extensions 5.2.2-12
haskell-lens 5.0.1-1
haskell-libmpd 0.10.0.0-19
haskell-memory 0.15.0-94
haskell-mime-types 0.1.0.9-11
haskell-monad-loops 0.4.3-22
haskell-mono-traversable 1.0.15.1-124
haskell-netlink 1.1.1.0-7
haskell-network 3.1.2.1-46
haskell-network-uri 2.6.4.1-14
haskell-old-locale 1.0.0.7-27
haskell-old-time 1.1.0.3-27
haskell-parallel 3.2.2.0-14
haskell-parsec-numbers 0.1.0-15
haskell-pem 0.2.4-159
